Position,Velocity,Throttle, Pitch_Angle,Pitch_Rate,Desired_Pitch,Elevator
 4.84534E+01, 6.16516E+00, 5.12535E-01, 9.77795E+00, 6.21855E-02, 1.00000E+01, 1.46548E-02
 4.96923E+01, 6.20382E+00, 5.12395E-01, 9.78994E+00, 5.95107E-02, 1.00000E+01, 1.38292E-02
 4.96923E+01, 6.20382E+00, 5.12395E-01, 9.78994E+00, 5.95107E-02, 1.00000E+01, 1.38292E-02
 5.03145E+01, 6.22267E+00, 5.12395E-01, 9.79568E+00, 5.74137E-02, 1.00000E+01, 1.38292E-02
 5.09387E+01, 6.24126E+00, 5.12326E-01, 9.80125E+00, 5.56564E-02, 1.00000E+01, 1.34748E-02
 5.21924E+01, 6.27779E+00, 5.12257E-01, 9.81198E+00, 5.32662E-02, 1.00000E+01, 1.31174E-02
 5.21924E+01, 6.27779E+00, 5.12123E-01, 9.81198E+00, 5.32662E-02, 1.00000E+01, 1.23783E-02
 5.28220E+01, 6.29560E+00, 5.12123E-01, 9.81712E+00, 5.13896E-02, 1.00000E+01, 1.23783E-02
 5.40863E+01, 6.33059E+00, 5.11927E-01, 9.82700E+00, 4.90303E-02, 1.00000E+01, 1.13881E-02
 5.47211E+01, 6.34765E+00, 5.11863E-01, 9.83173E+00, 4.72914E-02, 1.00000E+01, 1.10967E-02
 5.53575E+01, 6.36446E+00, 5.11799E-01, 9.83632E+00, 4.58392E-02, 1.00000E+01, 1.08026E-02
 5.53575E+01, 6.36446E+00, 5.11799E-01, 9.83632E+00, 4.58392E-02, 1.00000E+01, 1.08026E-02
 5.66354E+01, 6.39749E+00, 5.11675E-01, 9.84516E+00, 4.38676E-02, 1.00000E+01, 1.01940E-02
 5.66354E+01, 6.39749E+00, 5.11675E-01, 9.84516E+00, 4.38676E-02, 1.00000E+01, 1.01940E-02
 5.79197E+01, 6.42957E+00, 5.11553E-01, 9.85355E+00, 4.15489E-02, 1.00000E+01, 9.63894E-03
 5.85642E+01, 6.44520E+00, 5.11493E-01, 9.85755E+00, 4.00523E-02, 1.00000E+01, 9.39333E-03
 5.85642E+01, 6.44520E+00, 5.11493E-01, 9.85755E+00, 4.00523E-02, 1.00000E+01, 9.39333E-03
 5.92103E+01, 6.46061E+00, 5.11493E-01, 9.86143E+00, 3.88128E-02, 1.00000E+01, 9.39333E-03
